valuen,year,valuet2,month,estado
17,2014-2018,159,Imp paz,archivado
13,2014-2018,387,Impuestos,archivado
4,2014-2018,166,Infraestructura,archivado
70,2014-2018,239,Justicia,archivado
40,2014-2018,360,Laboral,archivado
50,2014-2018,354,Medio Ambiente,archivado
22,2014-2018,301,Minas y energía,archivado
3,2014-2018,348,min etn y sexuales,archivado
12,2014-2018,275,Mujer,archivado
7,2014-2018,231,Notariado y registro,archivado
36,2014-2018,313,Ord Territorial,archivado
8,2014-2018,292,org cont y min publ ,archivado
23,2014-2018,218,org electoral,archivado
11,2014-2018,298,part ciudadana,archivado
3,2014-2018,211,Partidos y movimientos,archivado
19,2014-2018,419,Politica Internacional,archivado
3,2014-2018,183,Presupuesto,archivado
19,2014-2018,329,Profesiones,archivado
13,2014-2018,147,Rama Ejecutiva,archivado
14,2014-2018,204,Rama Judicial,archivado
62,2014-2018,249,Rama Legislativa,archivado
11,2014-2018,294,rec y deporte,archivado
65,2014-2018,447,Seg Social y salud,archivado
33,2014-2018,371,seg- def y fuer publica,archivado
16,2014-2018,337,serv publicos,archivado
48,2014-2018,358,Transito y transporte,archivado
23,2014-2018,409,Vivienda,archivado
