month,value,Estado,year,filtro2,filtro
Nacional,185,Sancionado,2002-2006,Alcance,Alcance 2002-2006
Regional,5,Sancionado,2002-2006,Alcance,Alcance 2002-2006
Tratado,53,Sancionado,2002-2006,Alcance,Alcance 2002-2006
Local,41,Sancionado,2006-2010,Alcance,Alcance 2006-2010
Nacional,191,Sancionado,2006-2010,Alcance,Alcance 2006-2010
Regional,4,Sancionado,2006-2010,Alcance,Alcance 2006-2010
Tratado,59,Sancionado,2006-2010,Alcance,Alcance 2006-2010
Local,67,Sancionado,2010-2014,Alcance,Alcance 2010-2014
Nacional,166,Sancionado,2010-2014,Alcance,Alcance 2010-2014
Regional,4,Sancionado,2010-2014,Alcance,Alcance 2010-2014
Tratado,60,Sancionado,2010-2014,Alcance,Alcance 2010-2014
Local,36,Sancionado,2014-2018,Alcance,Alcance 2014-2018
Nacional,117,Sancionado,2014-2018,Alcance,Alcance 2014-2018
Regional,12,Sancionado,2014-2018,Alcance,Alcance 2014-2018
Tratado,14,Sancionado,2014-2018,Alcance,Alcance 2014-2018
