month,valuen,year,valuet2
Organización Electoral y elecciones,23,2014-2018,218
Participación ciudadana,11,2014-2018,298
Partidos y movimientos,3,2014-2018,211
Plan Nacional de Desarrollo,1,2014-2018,290
Política Internacional,19,2014-2018,419
Presupuesto,3,2014-2018,183
Profesiones,19,2014-2018,329
Rama Ejecutiva,13,2014-2018,147
Rama Judicial,14,2014-2018,204
Rama Legislativa,62,2014-2018,249
Recreación y deporte,11,2014-2018,294
Seguridad Social y salud,65,2014-2018,447
Seguridad, defensa y fuerza pública,33,2014-2018,371
Servicios Públicos,16,2014-2018,337
Tránsito y transporte,48,2014-2018,358
Vivienda,23,2014-2018,409
