month,filtro2,Estado,year,value,filtro
Legislativa,Iniciativa,Archivado,2010-2014,350,Iniciativa 2010-2014
Mixta,Iniciativa,Archivado,2010-2014,275,Iniciativa 2010-2014
Otras entidades,Iniciativa,Archivado,2010-2014,225,Iniciativa 2010-2014
Popular,Iniciativa,Archivado,2010-2014,270,Iniciativa 2010-2014
Gubernamental,Iniciativa,Archivado,2014-2018,289,Iniciativa 2014-2018
Legislativa,Iniciativa,Archivado,2014-2018,326,Iniciativa 2014-2018
Mixta,Iniciativa,Archivado,2014-2018,50,Iniciativa 2014-2018
Otras entidades,Iniciativa,Archivado,2014-2018,308,Iniciativa 2014-2018
Popular,Iniciativa,Archivado,2014-2018,147,Iniciativa 2014-2018
Local,Alcance,Archivado,2002-2006,467,Alcance 2002-2006
Nacional,Alcance,Archivado,2002-2006,301,Alcance 2002-2006
Regional,Alcance,Archivado,2002-2006,319,Alcance 2002-2006
Tratado,Alcance,Archivado,2002-2006,339,Alcance 2002-2006
Local,Alcance,Archivado,2006-2010,394,Alcance 2006-2010
Nacional,Alcance,Archivado,2006-2010,340,Alcance 2006-2010
Regional,Alcance,Archivado,2006-2010,274,Alcance 2006-2010
Tratado,Alcance,Archivado,2006-2010,488,Alcance 2006-2010
Local,Alcance,Archivado,2010-2014,392,Alcance 2010-2014
Nacional,Alcance,Archivado,2010-2014,344,Alcance 2010-2014
Regional,Alcance,Archivado,2010-2014,408,Alcance 2010-2014
Tratado,Alcance,Archivado,2010-2014,263,Alcance 2010-2014
Local,Alcance,Archivado,2014-2018,378,Alcance 2014-2018
Nacional,Alcance,Archivado,2014-2018,321,Alcance 2014-2018
Regional,Alcance,Archivado,2014-2018,298,Alcance 2014-2018
Tratado,Alcance,Archivado,2014-2018,329,Alcance 2014-2018
,,,,,
